epoch,train_loss,val_score
1,0.5540910870381867,0.7
2,0.3418908316485395,0.8
3,0.25401445775408693,0.87
4,0.14609171886856492,0.91
5,0.1260225090367477,0.91
6,0.10507720279639313,0.88
7,0.0767608728087593,0.91
8,0.12689525352480868,0.8700000000000001
9,0.053700468504883477,0.8300000000000001
10,0.010075296450879486,0.83
11,0.0027082156846828195,0.8200000000000001
12,0.0008676907260610383,0.8300000000000001
13,0.00048495809688294,0.8599999999999999
14,0.00036073149938870236,0.85
15,0.0003182357129023125,0.84
16,0.0002585061166650339,0.84
17,0.00022236599652555316,0.82
18,0.00024344832267923913,0.77
19,0.0001604376637361019,0.77
20,0.00013874823171261823,0.76
21,0.00013337101008465958,0.76
22,0.00012014376306769541,0.75
23,9.988618632448592e-05,0.74
24,8.738136442810295e-05,0.75
25,8.068357900002047e-05,0.75
26,7.270098858875596e-05,0.74
27,6.945583142376663e-05,0.75
28,6.391426707896369e-05,0.74
29,5.558399986977311e-05,0.73
30,5.0385027421843035e-05,0.73
