slide_id,patient_id,file_name,path,file_size,read_ok,features_shape,coords_shape,coords_key,n_patches,feature_dim,has_coords,error
TCGA-R5-A804-01Z-00-DX1.D1DDC2EE-C3ED-4502-B1C1-71D5585E9470,TCGA-R5-A804,TCGA-R5-A804-01Z-00-DX1.D1DDC2EE-C3ED-4502-B1C1-71D5585E9470.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-R5-A804-01Z-00-DX1.D1DDC2EE-C3ED-4502-B1C1-71D5585E9470.h5,7703336,True,"[1, 1232, 1536]","[1, 1232, 2]",coords,1232,1536,True,
TCGA-R5-A805-01Z-00-DX1.855298CD-DC64-4423-ABB1-D7AC92BF5177,TCGA-R5-A805,TCGA-R5-A805-01Z-00-DX1.855298CD-DC64-4423-ABB1-D7AC92BF5177.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-R5-A805-01Z-00-DX1.855298CD-DC64-4423-ABB1-D7AC92BF5177.h5,7205232,True,"[1, 1152, 1536]","[1, 1152, 2]",coords,1152,1536,True,
TCGA-RD-A7BS-01Z-00-DX1.F236D43D-0072-47C7-A4D5-6928932D4C9F,TCGA-RD-A7BS,TCGA-RD-A7BS-01Z-00-DX1.F236D43D-0072-47C7-A4D5-6928932D4C9F.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-RD-A7BS-01Z-00-DX1.F236D43D-0072-47C7-A4D5-6928932D4C9F.h5,196033272,True,"[1, 31458, 1536]","[1, 31458, 2]",coords,31458,1536,True,
TCGA-RD-A7BT-01Z-00-DX1.1B0308B0-27EA-43A7-BE89-C5F7831AF243,TCGA-RD-A7BT,TCGA-RD-A7BT-01Z-00-DX1.1B0308B0-27EA-43A7-BE89-C5F7831AF243.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-RD-A7BT-01Z-00-DX1.1B0308B0-27EA-43A7-BE89-C5F7831AF243.h5,138013128,True,"[1, 22146, 1536]","[1, 22146, 2]",coords,22146,1536,True,
TCGA-RD-A7BW-01Z-00-DX1.C8C51F10-BD65-44AC-BC95-4ED8D017D908,TCGA-RD-A7BW,TCGA-RD-A7BW-01Z-00-DX1.C8C51F10-BD65-44AC-BC95-4ED8D017D908.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-RD-A7BW-01Z-00-DX1.C8C51F10-BD65-44AC-BC95-4ED8D017D908.h5,134432144,True,"[1, 21571, 1536]","[1, 21571, 2]",coords,21571,1536,True,
TCGA-RD-A7C1-01Z-00-DX1.217B7632-39AC-41E1-8491-20C700B08AEC,TCGA-RD-A7C1,TCGA-RD-A7C1-01Z-00-DX1.217B7632-39AC-41E1-8491-20C700B08AEC.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-RD-A7C1-01Z-00-DX1.217B7632-39AC-41E1-8491-20C700B08AEC.h5,119320728,True,"[1, 19146, 1536]","[1, 19146, 2]",coords,19146,1536,True,
TCGA-RD-A8MV-01Z-00-DX1.E658A7D1-8A6A-4BE9-9C89-07B60E9F8983,TCGA-RD-A8MV,TCGA-RD-A8MV-01Z-00-DX1.E658A7D1-8A6A-4BE9-9C89-07B60E9F8983.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-RD-A8MV-01Z-00-DX1.E658A7D1-8A6A-4BE9-9C89-07B60E9F8983.h5,179884520,True,"[1, 28866, 1536]","[1, 28866, 2]",coords,28866,1536,True,
TCGA-RD-A8MW-01Z-00-DX1.30EE6F24-3983-4793-9EF6-059B9AF53F24,TCGA-RD-A8MW,TCGA-RD-A8MW-01Z-00-DX1.30EE6F24-3983-4793-9EF6-059B9AF53F24.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-RD-A8MW-01Z-00-DX1.30EE6F24-3983-4793-9EF6-059B9AF53F24.h5,131149872,True,"[1, 21044, 1536]","[1, 21044, 2]",coords,21044,1536,True,
TCGA-RD-A8N0-01Z-00-DX1.4C91480F-E7D8-4E37-B528-F5E272F2F8CA,TCGA-RD-A8N0,TCGA-RD-A8N0-01Z-00-DX1.4C91480F-E7D8-4E37-B528-F5E272F2F8CA.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-RD-A8N0-01Z-00-DX1.4C91480F-E7D8-4E37-B528-F5E272F2F8CA.h5,155061984,True,"[1, 24882, 1536]","[1, 24882, 2]",coords,24882,1536,True,
TCGA-RD-A8N1-01Z-00-DX1.A5D023FB-CBF8-477C-B5D1-8281BAA25E2E,TCGA-RD-A8N1,TCGA-RD-A8N1-01Z-00-DX1.A5D023FB-CBF8-477C-B5D1-8281BAA25E2E.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-RD-A8N1-01Z-00-DX1.A5D023FB-CBF8-477C-B5D1-8281BAA25E2E.h5,113789968,True,"[1, 18258, 1536]","[1, 18258, 2]",coords,18258,1536,True,
TCGA-RD-A8N2-01Z-00-DX1.A56448E6-1C5E-4758-AC2E-4591A406116C,TCGA-RD-A8N2,TCGA-RD-A8N2-01Z-00-DX1.A56448E6-1C5E-4758-AC2E-4591A406116C.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-RD-A8N2-01Z-00-DX1.A56448E6-1C5E-4758-AC2E-4591A406116C.h5,100447440,True,"[1, 16117, 1536]","[1, 16117, 2]",coords,16117,1536,True,
TCGA-RD-A8N4-01Z-00-DX1.03EBE393-9145-4F25-AA4C-E637B6A2A111,TCGA-RD-A8N4,TCGA-RD-A8N4-01Z-00-DX1.03EBE393-9145-4F25-AA4C-E637B6A2A111.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-RD-A8N4-01Z-00-DX1.03EBE393-9145-4F25-AA4C-E637B6A2A111.h5,87420592,True,"[1, 14026, 1536]","[1, 14026, 2]",coords,14026,1536,True,
TCGA-RD-A8N5-01Z-00-DX1.EFF443CB-E494-4746-AD03-6C20FCAEB427,TCGA-RD-A8N5,TCGA-RD-A8N5-01Z-00-DX1.EFF443CB-E494-4746-AD03-6C20FCAEB427.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-RD-A8N5-01Z-00-DX1.EFF443CB-E494-4746-AD03-6C20FCAEB427.h5,72074792,True,"[1, 11563, 1536]","[1, 11563, 2]",coords,11563,1536,True,
TCGA-RD-A8N6-01Z-00-DX1.E51FADB4-1A2E-415D-9C91-F81705311147,TCGA-RD-A8N6,TCGA-RD-A8N6-01Z-00-DX1.E51FADB4-1A2E-415D-9C91-F81705311147.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-RD-A8N6-01Z-00-DX1.E51FADB4-1A2E-415D-9C91-F81705311147.h5,113061032,True,"[1, 18141, 1536]","[1, 18141, 2]",coords,18141,1536,True,
TCGA-RD-A8N9-01Z-00-DX1.70899C63-3C5D-4993-8215-F7452ADE134D,TCGA-RD-A8N9,TCGA-RD-A8N9-01Z-00-DX1.70899C63-3C5D-4993-8215-F7452ADE134D.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-RD-A8N9-01Z-00-DX1.70899C63-3C5D-4993-8215-F7452ADE134D.h5,162232104,True,"[1, 26033, 1536]","[1, 26033, 2]",coords,26033,1536,True,
TCGA-RD-A8NB-01Z-00-DX1.FA45D4EF-D5FA-407A-9BF1-44C2A6326F3A,TCGA-RD-A8NB,TCGA-RD-A8NB-01Z-00-DX1.FA45D4EF-D5FA-407A-9BF1-44C2A6326F3A.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-RD-A8NB-01Z-00-DX1.FA45D4EF-D5FA-407A-9BF1-44C2A6326F3A.h5,78073384,True,"[1, 12526, 1536]","[1, 12526, 2]",coords,12526,1536,True,
TCGA-SW-A7EA-01Z-00-DX1.C5E1BE0E-0A25-4480-A3AC-DB2ED7471A4E,TCGA-SW-A7EA,TCGA-SW-A7EA-01Z-00-DX1.C5E1BE0E-0A25-4480-A3AC-DB2ED7471A4E.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-SW-A7EA-01Z-00-DX1.C5E1BE0E-0A25-4480-A3AC-DB2ED7471A4E.h5,24503456,True,"[1, 3928, 1536]","[1, 3928, 2]",coords,3928,1536,True,
TCGA-SW-A7EB-01Z-00-DX1.E9DE72F8-706D-43E2-A67E-7EDD39A509EB,TCGA-SW-A7EB,TCGA-SW-A7EB-01Z-00-DX1.E9DE72F8-706D-43E2-A67E-7EDD39A509EB.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-SW-A7EB-01Z-00-DX1.E9DE72F8-706D-43E2-A67E-7EDD39A509EB.h5,29511440,True,"[1, 4732, 1536]","[1, 4732, 2]",coords,4732,1536,True,
TCGA-VQ-A8DL-01Z-00-DX1.E720AE39-654E-4587-A294-2ED2BCE6F043,TCGA-VQ-A8DL,TCGA-VQ-A8DL-01Z-00-DX1.E720AE39-654E-4587-A294-2ED2BCE6F043.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8DL-01Z-00-DX1.E720AE39-654E-4587-A294-2ED2BCE6F043.h5,85104256,True,"[1, 13654, 1536]","[1, 13654, 2]",coords,13654,1536,True,
TCGA-VQ-A8DT-01Z-00-DX1.C87953F7-A303-410E-9554-2022A79AF6CC,TCGA-VQ-A8DT,TCGA-VQ-A8DT-01Z-00-DX1.C87953F7-A303-410E-9554-2022A79AF6CC.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8DT-01Z-00-DX1.C87953F7-A303-410E-9554-2022A79AF6CC.h5,98903216,True,"[1, 15869, 1536]","[1, 15869, 2]",coords,15869,1536,True,
