epoch,train_loss,val_score
1,0.6705269754611861,1.0
2,0.36539678642456636,1.0
3,0.24862201563158795,1.0
4,0.20904506684746593,0.9871794871794872
5,0.1701410677486369,0.9935897435897436
6,0.1477719565410663,0.9871794871794872
7,0.09214049383478944,0.9807692307692308
8,0.015310814859433683,0.9935897435897436
9,0.10988830645959259,0.9807692307692307
10,0.04647478215419796,0.9807692307692307
11,0.03167405206545269,0.9935897435897436
12,0.04102434933068074,0.9807692307692307
13,0.005619964352373695,0.9807692307692307
14,0.06969474101788364,0.967948717948718
15,0.058668477096808114,0.967948717948718
16,0.006473908848488251,0.9551282051282052
17,0.022540584817761555,0.967948717948718
18,0.0008278288171304581,0.967948717948718
19,0.0006500569775496027,0.967948717948718
20,0.0005330420612595828,0.967948717948718
21,0.00042534559152130404,0.967948717948718
22,0.00039073725630285513,0.9743589743589743
23,0.00030902938734496307,0.9743589743589743
24,0.00030715866833076614,0.9743589743589743
25,0.00021729193068605577,0.9743589743589743
26,0.00019374556559851724,0.9743589743589743
27,0.00017833326637628488,0.9743589743589743
28,0.00017020534424118863,0.9743589743589743
29,0.00013846335696993792,0.9743589743589743
30,0.0001281557319616185,0.9743589743589743
