epoch,train_loss,val_score
1,0.3394908964517526,0.75
2,0.23928325975932901,0.8181818181818181
3,0.18977937938894188,0.875
4,0.06363261144314575,0.8522727272727273
5,0.13727620122802114,0.9431818181818181
6,0.029677879069773056,0.7954545454545454
7,0.06193388103955923,0.9204545454545455
8,0.014865160235190574,0.9204545454545455
9,0.0006743456006171817,0.9090909090909091
10,0.00040733141630136576,0.7954545454545454
11,0.00030343722067879174,0.7954545454545454
12,0.0002639596006040599,0.7613636363636364
13,0.00019048570585999353,0.7613636363636364
14,0.00015060199190305534,0.75
15,0.0001438728902113243,0.75
16,0.00011634564943960868,0.75
17,0.00011582397668131638,0.75
18,9.820168265005949e-05,0.75
19,0.0001026149851689049,0.75
20,8.147952764623122e-05,0.75
21,6.529506659221211e-05,0.75
22,7.047742411404298e-05,0.75
23,6.391744543427855e-05,0.75
24,5.6315699699056994e-05,0.75
25,4.938426219186195e-05,0.75
26,4.888391211931197e-05,0.75
27,4.2248701071333595e-05,0.75
28,3.77848035317253e-05,0.75
29,3.674565217476232e-05,0.75
30,3.3630555848999805e-05,0.75
