epoch,train_loss,val_score
1,0.2984838466766044,0.858843537414966
2,0.2303532783566077,0.7993197278911565
3,0.16746134519138756,0.7967687074829931
4,0.09626253930208109,0.7712585034013606
5,0.11692522376988028,0.7074829931972789
6,0.12018446389821988,0.7295918367346939
7,0.017699401127281494,0.7210884353741496
8,0.006690067800103433,0.7925170068027211
9,0.0009100918664176681,0.7899659863945577
10,0.0006842324762735242,0.782312925170068
11,0.00047344383940927564,0.7695578231292517
12,0.0005147059250435525,0.7653061224489796
13,0.0003328632199233706,0.7559523809523809
14,0.0002086016950349457,0.7423469387755103
15,0.00019250472552598426,0.7389455782312926
16,0.00015072358397607305,0.7312925170068026
17,0.0001347951594973839,0.7219387755102041
18,0.00010649498296836956,0.7193877551020408
19,0.00010663862624770605,0.7159863945578231
20,0.00012023761297875942,0.7168367346938775
21,8.995778402469809e-05,0.7125850340136054
22,6.929937938045495e-05,0.7074829931972789
23,6.128892080007918e-05,0.701530612244898
24,5.292641525797722e-05,0.6972789115646258
25,6.035544636768678e-05,0.6955782312925171
26,5.291365391713043e-05,0.6938775510204082
27,4.509231130481674e-05,0.6904761904761905
28,4.0009990725058527e-05,0.6896258503401361
29,3.999040331885173e-05,0.6862244897959183
30,4.135482571896051e-05,0.6845238095238095
