task,n,n_pos,n_neg,prevalence,threshold,tn,fp,fn,tp,accuracy,sensitivity,specificity,ppv,npv,f1,brier,auroc,average_precision,calibration_intercept,calibration_slope,auroc_ci_low,auroc_ci_high,average_precision_ci_low,average_precision_ci_high,accuracy_ci_low,accuracy_ci_high,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,ppv_ci_low,ppv_ci_high,npv_ci_low,npv_ci_high,f1_ci_low,f1_ci_high,brier_ci_low,brier_ci_high,calibration_intercept_ci_low,calibration_intercept_ci_high,calibration_slope_ci_low,calibration_slope_ci_high,macro_f1,macro_ovr_auroc,macro_average_precision,macro_f1_ci_low,macro_f1_ci_high,macro_ovr_auroc_ci_low,macro_ovr_auroc_ci_high,macro_average_precision_ci_low,macro_average_precision_ci_high
M1_immune_sensitive,231,62.0,169.0,0.2683982683982684,0.5,159.0,10.0,20.0,42.0,0.8701298701298701,0.6774193548387096,0.9408284023668639,0.8076923076923077,0.888268156424581,0.7368421052631579,0.11167328419913419,0.9049436915441879,0.8394708231037881,-0.006310989443917946,0.2634696823819284,0.851123676009946,0.9507480151013823,0.7575031547595152,0.9086022589625943,0.8268398268398268,0.9134199134199135,0.559322033898305,0.7931171319102354,0.9041856964038026,0.9753124289934105,0.6981132075471698,0.9130622188905546,0.8411764705882353,0.9322129118263187,0.6386554621848739,0.8208955223880597,0.07514010625216451,0.14828623298593072,-0.4465410935466379,0.5176276161603407,0.2103268822725459,0.3520763346432333,,,,,,,,,
M2_msi,231,39.0,192.0,0.16883116883116883,0.5,177.0,15.0,14.0,25.0,0.8744588744588745,0.6410256410256411,0.921875,0.625,0.9267015706806283,0.6329113924050633,0.11175637186147186,0.9033119658119658,0.6562862287502061,-0.7424132247990051,0.26009680535756946,0.8542642834805352,0.9457469193292164,0.4984978276487514,0.7988035191004922,0.8311688311688312,0.9134199134199135,0.4799565217391304,0.7878787878787878,0.8814369194651424,0.9578947368421052,0.47058823529411764,0.7714610389610388,0.8866995073891626,0.9615489130434782,0.4931506849315069,0.75,0.0787837252922078,0.14704075474891773,-1.2409132004826147,-0.24863263386674453,0.2010520884123422,0.3633826024786168,,,,,,,,,
M3_ebv,231,23.0,208.0,0.09956709956709957,0.5,208.0,0.0,17.0,6.0,0.9264069264069265,0.2608695652173913,1.0,1.0,0.9244444444444444,0.41379310344827586,0.0691058683982684,0.8023620401337793,0.5954921889704499,1.0484379693455959,0.3251803787413859,0.6929584002068738,0.9097801984368129,0.4103741787837057,0.7780083742495426,0.8917748917748918,0.9567099567099567,0.08695652173913043,0.45011363636363577,1.0,1.0,1.0,1.0,0.888380345131326,0.9557570854937429,0.16,0.6207974137931028,0.03908415375,0.1013043304134199,0.17724787663076622,2.088153691623746,0.23514150051306382,0.4608303821227141,,,,,,,,,
M4_subtype4,231,,,,,,,,,0.6796536796536796,,,,,,,,,,,,,,,0.6190476190476191,0.7445887445887446,,,,,,,,,,,,,,,,,0.5734172972800984,0.814154522592488,0.6327172613027798,0.4840030879226487,0.6525809296522901,0.763306140476157,0.8634367876207806,0.5590502443126278,0.7178706764967002
