cohort,task,n_patients,capacity_fraction,immediate_tests,deferred_tests,positives_total,positives_detected,positives_missed,positive_coverage,immediate_tests_per_100,deferred_tests_per_100,detected_per_100,missed_per_100
TCGA,joint_MSI_or_EBV_by_M1,231,0.2,47,184,62,38,24,0.6129032258064516,20.346320346320347,79.65367965367966,16.450216450216452,10.38961038961039
TCGA,joint_MSI_or_EBV_by_M1,231,0.3,70,161,62,51,11,0.8225806451612904,30.303030303030305,69.6969696969697,22.07792207792208,4.761904761904762
TCGA,joint_MSI_or_EBV_by_M1,231,0.4,93,138,62,54,8,0.8709677419354839,40.25974025974026,59.74025974025974,23.376623376623378,3.463203463203463
TCGA,MSI_by_M2,231,0.2,47,184,39,28,11,0.717948717948718,20.346320346320347,79.65367965367966,12.121212121212121,4.761904761904762
TCGA,MSI_by_M2,231,0.3,70,161,39,32,7,0.8205128205128205,30.303030303030305,69.6969696969697,13.852813852813853,3.0303030303030303
TCGA,MSI_by_M2,231,0.4,93,138,39,37,2,0.9487179487179487,40.25974025974026,59.74025974025974,16.017316017316016,0.8658008658008658
TCGA,EBV_by_M3,231,0.2,47,184,23,15,8,0.6521739130434783,20.346320346320347,79.65367965367966,6.4935064935064934,3.463203463203463
TCGA,EBV_by_M3,231,0.3,70,161,23,16,7,0.6956521739130435,30.303030303030305,69.6969696969697,6.926406926406926,3.0303030303030303
TCGA,EBV_by_M3,231,0.4,93,138,23,18,5,0.782608695652174,40.25974025974026,59.74025974025974,7.792207792207792,2.1645021645021645
