cohort,task,n_patients,capacity_fraction,immediate_tests,deferred_tests,positives_total,positives_detected,positives_missed,positive_coverage,immediate_tests_per_100,deferred_tests_per_100,detected_per_100,missed_per_100
TCGA,joint_MSI_or_EBV_by_M1,231,0.05,12,219,62,12,50,0.1935483870967742,5.194805194805195,94.8051948051948,5.194805194805195,21.645021645021647
TCGA,joint_MSI_or_EBV_by_M1,231,0.1,24,207,62,23,39,0.3709677419354839,10.38961038961039,89.6103896103896,9.956709956709958,16.883116883116884
TCGA,joint_MSI_or_EBV_by_M1,231,0.15,35,196,62,31,31,0.5,15.151515151515152,84.84848484848484,13.41991341991342,13.41991341991342
TCGA,joint_MSI_or_EBV_by_M1,231,0.2,47,184,62,38,24,0.6129032258064516,20.346320346320347,79.65367965367966,16.450216450216452,10.38961038961039
TCGA,joint_MSI_or_EBV_by_M1,231,0.25,58,173,62,46,16,0.7419354838709677,25.10822510822511,74.89177489177489,19.913419913419915,6.926406926406926
TCGA,joint_MSI_or_EBV_by_M1,231,0.3,70,161,62,51,11,0.8225806451612904,30.303030303030305,69.6969696969697,22.07792207792208,4.761904761904762
TCGA,joint_MSI_or_EBV_by_M1,231,0.4,93,138,62,54,8,0.8709677419354839,40.25974025974026,59.74025974025974,23.376623376623378,3.463203463203463
TCGA,joint_MSI_or_EBV_by_M1,231,0.5,116,115,62,58,4,0.9354838709677419,50.21645021645022,49.78354978354978,25.10822510822511,1.7316017316017316
TCGA,joint_MSI_or_EBV_by_M1,231,0.75,174,57,62,60,2,0.967741935483871,75.32467532467533,24.675324675324674,25.974025974025974,0.8658008658008658
TCGA,joint_MSI_or_EBV_by_M1,231,1.0,231,0,62,62,0,1.0,100.0,0.0,26.83982683982684,0.0
TCGA,MSI_by_M2,231,0.05,12,219,39,10,29,0.2564102564102564,5.194805194805195,94.8051948051948,4.329004329004329,12.554112554112555
TCGA,MSI_by_M2,231,0.1,24,207,39,17,22,0.4358974358974359,10.38961038961039,89.6103896103896,7.359307359307359,9.523809523809524
TCGA,MSI_by_M2,231,0.15,35,196,39,21,18,0.5384615384615384,15.151515151515152,84.84848484848484,9.090909090909092,7.792207792207792
TCGA,MSI_by_M2,231,0.2,47,184,39,28,11,0.717948717948718,20.346320346320347,79.65367965367966,12.121212121212121,4.761904761904762
TCGA,MSI_by_M2,231,0.25,58,173,39,30,9,0.7692307692307693,25.10822510822511,74.89177489177489,12.987012987012987,3.896103896103896
TCGA,MSI_by_M2,231,0.3,70,161,39,32,7,0.8205128205128205,30.303030303030305,69.6969696969697,13.852813852813853,3.0303030303030303
TCGA,MSI_by_M2,231,0.4,93,138,39,37,2,0.9487179487179487,40.25974025974026,59.74025974025974,16.017316017316016,0.8658008658008658
TCGA,MSI_by_M2,231,0.5,116,115,39,37,2,0.9487179487179487,50.21645021645022,49.78354978354978,16.017316017316016,0.8658008658008658
TCGA,MSI_by_M2,231,0.75,174,57,39,39,0,1.0,75.32467532467533,24.675324675324674,16.883116883116884,0.0
TCGA,MSI_by_M2,231,1.0,231,0,39,39,0,1.0,100.0,0.0,16.883116883116884,0.0
TCGA,EBV_by_M3,231,0.05,12,219,23,10,13,0.43478260869565216,5.194805194805195,94.8051948051948,4.329004329004329,5.627705627705628
TCGA,EBV_by_M3,231,0.1,24,207,23,13,10,0.5652173913043478,10.38961038961039,89.6103896103896,5.627705627705628,4.329004329004329
TCGA,EBV_by_M3,231,0.15,35,196,23,15,8,0.6521739130434783,15.151515151515152,84.84848484848484,6.4935064935064934,3.463203463203463
TCGA,EBV_by_M3,231,0.2,47,184,23,15,8,0.6521739130434783,20.346320346320347,79.65367965367966,6.4935064935064934,3.463203463203463
TCGA,EBV_by_M3,231,0.25,58,173,23,16,7,0.6956521739130435,25.10822510822511,74.89177489177489,6.926406926406926,3.0303030303030303
TCGA,EBV_by_M3,231,0.3,70,161,23,16,7,0.6956521739130435,30.303030303030305,69.6969696969697,6.926406926406926,3.0303030303030303
TCGA,EBV_by_M3,231,0.4,93,138,23,18,5,0.782608695652174,40.25974025974026,59.74025974025974,7.792207792207792,2.1645021645021645
TCGA,EBV_by_M3,231,0.5,116,115,23,20,3,0.8695652173913043,50.21645021645022,49.78354978354978,8.658008658008658,1.2987012987012987
TCGA,EBV_by_M3,231,0.75,174,57,23,20,3,0.8695652173913043,75.32467532467533,24.675324675324674,8.658008658008658,1.2987012987012987
TCGA,EBV_by_M3,231,1.0,231,0,23,23,0,1.0,100.0,0.0,9.956709956709958,0.0
