task,n,n_pos,n_neg,prevalence,threshold,tn,fp,fn,tp,accuracy,sensitivity,specificity,ppv,npv,f1,brier,auroc,average_precision,calibration_intercept,calibration_slope,auroc_ci_low,auroc_ci_high,average_precision_ci_low,average_precision_ci_high,accuracy_ci_low,accuracy_ci_high,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,ppv_ci_low,ppv_ci_high,npv_ci_low,npv_ci_high,f1_ci_low,f1_ci_high,brier_ci_low,brier_ci_high,calibration_intercept_ci_low,calibration_intercept_ci_high,calibration_slope_ci_low,calibration_slope_ci_high
M1_immune_sensitive,156,43,113,0.27564102564102566,0.5,100,13,6,37,0.8782051282051282,0.8604651162790697,0.8849557522123894,0.74,0.9433962264150944,0.7956989247311828,0.11581535941054764,0.8878370034986622,0.8115546813408142,-0.6085791389079676,0.4098989111329971,0.8154772004241782,0.9480790697001901,0.6966847269801754,0.903926229110027,0.8269230769230769,0.9230769230769231,0.75,0.9535147991543339,0.8240740740740741,0.9357944120100083,0.6153846153846154,0.8518670309653915,0.8979401106236887,0.981651376146789,0.6999757281553398,0.8750297619047618,0.07822414037473567,0.15788858563754862,-1.1334903324641523,-0.1959644430320282,0.284727515420728,0.6770878370138306
M2_msi,156,30,126,0.19230769230769232,0.5,107,19,11,19,0.8076923076923077,0.6333333333333333,0.8492063492063492,0.5,0.9067796610169492,0.5588235294117647,0.1360278481169834,0.8171957671957673,0.5971871766778981,-0.8894245374659245,0.24681280936043615,0.7102950619847421,0.9090942832353225,0.41893689462377237,0.779816558195228,0.7435897435897436,0.8653846153846154,0.45454545454545453,0.8125578703703701,0.7868696033037167,0.9055302657480313,0.3333333333333333,0.6511627906976745,0.8495575221238938,0.9572649572649573,0.4,0.6857142857142857,0.0964575179248978,0.18107010484324462,-1.3975347977190022,-0.4831251941783595,0.14175586470996882,0.4246209499412926
M3_ebv,156,13,143,0.08333333333333333,0.5,140,3,9,4,0.9230769230769231,0.3076923076923077,0.9790209790209791,0.5714285714285714,0.9395973154362416,0.4,0.06100020354121469,0.8596019365250135,0.4414886690462138,-0.39072236412767897,0.3965350961316858,0.7191211900804587,0.9693289449599545,0.2272789043361651,0.7577595040829798,0.8782051282051282,0.9615384615384616,0.07142857142857142,0.5833333333333334,0.9523809523809523,1.0,0.16666666666666666,1.0,0.8979591836734694,0.9735142906936214,0.1111111111111111,0.64,0.03163267949922211,0.09693712725595438,-1.409295472646414,0.6956345826027269,0.21916481793249976,0.8525093403737041
