epoch,train_loss,val_score
1,0.43462111460120156,
2,0.29910160835849064,
3,0.2701037556367337,
4,0.21050528285141634,
5,0.1448944846552579,
6,0.08271511220527215,
7,0.03871557596915005,
8,0.02089647476508201,
9,0.008890106391312363,
10,0.004407983700492176,
11,0.002355745299574958,
12,0.0016545593186705213,
13,0.0017504171641605309,
14,0.0011419116614248418,
15,0.0007012460779737447,
16,0.000689813686604506,
17,0.0005263859792288313,
18,0.0002781032397562292,
19,0.0002964670370572793,
20,0.00016709895606229343,
21,0.00018847042237937973,
22,0.00013155483612404005,
23,0.00014103916758501537,
24,0.0001827626387569661,
25,0.00011969199849280886,
26,0.00014329386496550779,
27,0.0001342433208258365,
28,7.54387491922306e-05,
29,6.187209700510568e-05,
30,3.7578505435306704e-05,
