epoch,train_loss,val_score
1,0.5610408455133438,0.6808300395256917
2,0.49596134038134054,0.7890316205533596
3,0.4448912817984819,0.8285573122529645
4,0.3973679896444082,0.8579545454545455
5,0.3199031619355083,0.8885869565217391
6,0.2052384405312213,0.9103260869565217
7,0.1284286360203458,0.9214426877470355
8,0.05398460396417332,0.9174901185770752
9,0.03223009676228023,0.9216897233201582
10,0.018922584642892946,0.9224308300395258
11,0.008351195518513453,0.9216897233201582
12,0.005786622549993064,0.9216897233201581
13,0.0047244448180373926,0.921195652173913
14,0.004206275056396242,0.9199604743083004
15,0.0027800764853013376,0.9214426877470355
16,0.00210089884610418,0.9214426877470356
17,0.0019118560752407244,0.9211956521739131
18,0.0018388924117785294,0.9211956521739131
19,0.00125182193103422,0.9216897233201581
20,0.0010766258564749685,0.920701581027668
21,0.0009493023879390318,0.9209486166007905
22,0.0007021865905134528,0.9216897233201582
23,0.0004988734411151603,0.9204545454545455
24,0.0005024160231639288,0.920207509881423
25,0.0003931797556911027,0.9197134387351779
26,0.0003576099098277103,0.9197134387351779
27,0.00037467729312574895,0.9192193675889329
28,0.00031537493245834144,0.9184782608695652
29,0.00023797438111808396,0.9192193675889329
30,0.0002031643641104934,0.9194664031620554
