epoch,train_loss,val_score
1,0.6067557765563507,0.6578947368421053
2,0.4546891028236915,0.8947368421052633
3,0.2711967174861697,0.9473684210526316
4,0.21410443109978042,0.9473684210526316
5,0.1579050026858025,0.9605263157894738
6,0.10685454889210025,0.9605263157894738
7,0.06808402579475933,0.9605263157894738
8,0.02845829198977217,0.9605263157894738
9,0.011049266843079268,0.9605263157894738
10,0.004865290557967814,0.9605263157894738
11,0.003614864808519791,0.9605263157894738
12,0.0025509822476325475,0.9605263157894738
13,0.0016582979435563966,0.9605263157894738
14,0.0014753033547619137,0.9605263157894738
15,0.0008937249880286132,0.9605263157894738
16,0.0006065796786531543,0.9605263157894738
17,0.0005282065916277116,0.9605263157894738
18,0.00045718456242337856,0.9605263157894738
19,0.00035772093765987185,0.9605263157894738
20,0.0002624803975037038,0.9605263157894738
21,0.0002144139794907446,0.9605263157894738
22,0.0002005328454965907,0.9605263157894738
23,0.00017029887524492806,0.9605263157894738
24,0.00010309033967645811,0.9605263157894738
25,0.00010610288893024485,0.9605263157894738
26,0.00011768300684696267,0.9605263157894738
27,0.00010236736137927037,0.9605263157894738
28,0.0001284090658921995,0.9605263157894738
29,6.361570094121655e-05,0.9605263157894738
30,4.909148516422405e-05,0.9605263157894738
