epoch,train_loss,val_score
1,1.1840738741689563,0.8124968671679198
2,0.7637460357187668,0.8893421052631578
3,0.4920123525882303,0.8525219298245614
4,0.32807820489252426,0.8649561403508772
5,0.22691129377189045,0.803421052631579
6,0.20561689695167412,0.8364254385964911
7,0.12949232028342336,0.8349561403508772
8,0.10478161291346975,0.8893859649122808
9,0.049482024884739816,0.8722994987468672
10,0.0879839161472086,0.8455701754385965
11,0.011102382263462681,0.8503258145363408
12,0.003984822310380689,0.8603258145363409
13,0.003153103189693103,0.8588784461152883
14,0.002517520371998321,0.863045112781955
15,0.001965175726808273,0.8655451127819549
16,0.001703684757855798,0.8659617794486216
17,0.0015036113324686713,0.8667293233082707
18,0.0014271825749946389,0.868812656641604
19,0.0011700029350272144,0.8735745614035088
20,0.0010248262405423406,0.8789254385964911
21,0.0009161961037040074,0.868859649122807
22,0.0007749162708228875,0.8726754385964912
23,0.0007167709911535044,0.8726754385964912
24,0.0006478672136589112,0.8772587719298246
25,0.0006151153176378089,0.8772587719298246
26,0.0005389456688168927,0.8793421052631578
27,0.0005040062810181671,0.8747587719298244
28,0.00042960018272675824,0.8768421052631579
29,0.00040055152880723164,0.8793421052631578
30,0.0003557266955639982,0.8814254385964913
