epoch,train_loss,val_score
1,1.2621648336580287,0.705184331797235
2,1.0766709130159848,0.8499017611545744
3,0.8637253414859011,0.8930211660057872
4,0.6971791021194289,0.919951755796092
5,0.5681147501116414,0.9233839754581503
6,0.47331537276443036,0.9235521782231273
7,0.3853682338275961,0.9253219599542744
8,0.3000544266146242,0.9187642089093703
9,0.24278480136759106,0.9162242614224985
10,0.18178845074132002,0.9128613135426713
11,0.1382562741202958,0.9056166407673347
12,0.11154173794175079,0.9094883765584253
13,0.10771838751653086,0.9059926008287786
14,0.09323035018167226,0.8978662612081592
15,0.11476699467727071,0.9149135498160256
16,0.05455249410939902,0.9147349337334334
17,0.06570425755754604,0.9153570490836995
18,0.03621724467518145,0.9185199201586111
19,0.03616694295100226,0.9106732843925267
20,0.02539179721061992,0.9116768835065909
21,0.016064492322047964,0.9126958034151396
22,0.012154011719339239,0.9118342889293753
23,0.012011176398292205,0.9132113072911086
24,0.008987775369622645,0.9129746990319008
25,0.01337730953812315,0.9071541814024935
26,0.008384679151078734,0.9078491676490551
27,0.009950943704179873,0.9097497544028865
28,0.0057382791513639975,0.911498267423999
29,0.006214886823185895,0.9099683090415461
30,0.003390260300701721,0.906493802021934
